_id,BankAccount,Currency,CurrencyAmount,NumberOfItems,BoughtOrSold,ShopOwner,Buyer,Seller,WorldObjectItem,ItemUsed,Citizen,ActionLocation,Count,Time
"67e9b529daf4e101ebe9541e",457465,112783,2.700000048,1.0,18,555551,362223,555551,"StoreItem","ToppedPorridgeItem",362223,"866,66,849",8.0,197859
"67e9b52cdaf4e101ebe95465",899431,112783,195.0,1.0,18,1615843,899423,1615843,"StoreItem","LargeCanoeItem",899423,"1531,71,647",1.0,194415
"67e9b52fdaf4e101ebe95484",1438485,112783,75.0,5.0,18,1615843,1438477,1615843,"StoreItem","WoodenHullPlanksItem",1438477,"1531,71,647",1.0,194417
"67e9b533daf4e101ebe954b1",483745,112783,21.0,15.0,18,1507014,483737,1507014,"StoreItem","HewnLogItem",483737,"1359,78,130",4.0,197578
"67e9b559daf4e101ebe956c0",481479,112783,71.0,71.0,18,492283,481471,492283,"StoreItem","MortaredStoneItem",481471,"1461,76,1322",4.0,196663
"67e9b565daf4e101ebe957af",481292,112783,14.0,1.0,19,555551,555551,481279,"StoreItem","BisonCarcassItem",481279,"866,66,849",3.0,196651
"67e9b56adaf4e101ebe957ed",1615851,112783,48.450000763,57.0,18,592596,1603027,592596,"StoreItem","MortaredSandstoneItem",1603027,"1371,72,597",2.0,194491
"67e9b56bdaf4e101ebe957fe",2918024,112783,45.0,180.0,19,362211,362211,2918015,"StoreItem","LimestoneItem",2918015,"1418,72,73",9.0,196030
"67e9b56cdaf4e101ebe95812",357001,112783,32.400001526,54.0,18,630584,356993,630584,"StoreItem","CrushedSandstoneItem",356993,"1341,69,383",1.0,194478
"67e9b587daf4e101ebe959f3",111777,112783,21.0,15.0,18,510794,111769,510794,"StoreItem","HewnLogItem",111769,"1407,72,1357",3.0,194688
"67e9b58adaf4e101ebe95a0b",3131480,112783,30.0,30.0,18,483914,3131472,483914,"StoreItem","RiceItem",3131472,"1582,67,1515",5.0,194530
"67e9b592daf4e101ebe95aad",3181414,112783,10.0,10.0,18,913454,3181406,913454,"StoreItem","MortaredGraniteItem",3181406,"1087,68,1553",17.0,197261
"67e9b5addaf4e101ebe95c37",481489,112783,80.0,2.0,18,362211,481483,362211,"StoreItem","GraniteSpiralFountainItem",481483,"1418,72,73",13.0,197180
"67e9b5d1daf4e101ebe95e9c",928916,112783,20.0,1.0,18,529366,928908,529366,"StoreItem","CulinaryResearchPaperBasicItem",928908,"1426,68,667",13.0,196520
"67e9b5dddaf4e101ebe95fa2",482750,112783,200.0,50.0,18,482191,482742,482191,"StoreItem","FernCampfireSaladItem",482742,"857,72,108",5.0,195215
